,text
430,"Hi!I have several computer related books for sale. They are all new,unused and hence in excellent condition. The subjects includeProgramming Languages (C, C++, LISP, PROLOG), Operating Systems(UNIX, DOS), Windows, X-Windows, LAN, AI, and Expert Systems.If you are interested, pls. contact me at:			parikhma@ucunix.san.uc.eduThanks."
436,I have a Onkyo integrated amplifier that I am looking to get rid of.	60w/ch	integra series 	works great	not a problem	Asking $100 OBO	If your interested call me at (317)743-2656  or email this address.	MAKE ME AN OFFER!!!	                 Todd
438,"Victoria Hotel Reserv. 2 nights $40MID-WEEK (Sun - Thurs) Hotel reservation available for Victoria, Canada.2 nights/3 days for $40.  Expires June 1, 1993.This is a LETTER OF CREDIT (fully transferrable) issued by HOTELCO fora hotel room in any of a number of available hotels in Victoria, Canada.HOTELCO is a reputable hotel booking company that provides hotel stays at low prices.  This LETTER OF CREDIT normally works for weekends, too, butall weekends are booked solid for the summer.So, check with HOTELCO directly for available dates at one of its memberhotels to use this LETTER OF CREDIT before June 1.  HOTELCO can be reached at (206)485-5200 in Bothell or 1-800-645-8885 during regular business hours.Then, if you find an acceptable reservation date, contact me for thisLETTER OF CREDIT.Roger Bacalzorbacalzo@sierra.com(206)828-9094 (home)(206)822-5200 x360 (work)"
439,Trade your old PC for my new modem.Modem comes with coupond good for travel to/from Europe.14.4 v.42bis modemMODEM FEATURES:MNP5 2-to-1 Compression & Error CorrectionV.42bis 4-to-1 Compression & Error CorrectionCCITT V.32bis Compatible (14.4k bps)CCITT V.32 Compatible (9.6k bps)CCITT V.22bis Compatible (2.4k bps)AT Command Set CompatibleCompatible with IBM PC/XT/AT/386's and CompatiblesBundled with Communications SoftwarePC Bus interfaceTwo RJ11C Connectors:  Phone and Line
444,The file and contents listings for:Knowledge Media Resource Library: Graphics 1Knowledge Media Resource Library: Audio 1
445,"Thanks for the information!I assume p is the semi-major axis and e the eccentricity.  The peri-helion and aphelion are then given by p(1-e) and p(1+e), i.e., about2.90 and 3.95 AU respectively.  For Jupiter, they are 4.95 and 5.45 AU.If 1977 was after the temporary capture, this means that the cometended up in an orbit that comes no closer than 1 AU to Jupiter's --which I take to be a rough indication of how far from Jupiter it couldget under Jupiter's influence.Where 1 Jupiter radius = 71,000 km = 44,000 mi = 0.0005 AU.  So the1970 figure seems unlikely to actually be anything but a perijove.Is that the case for the 1973 figure as well?-- Mark Brader, SoftQuad Inc., Toronto		""Remember the Golgafrinchans""utzoo!sq!msb, msb@sq.com					-- Pete Granger"
450,"I've got a 386 motherboard for sale:    i386-25DX processor w/2Mb RAM    AMI BIOS w/setup    Math Coprocessor socket    8 expansion slots    Full sized motherboard--fits any full-sized case    All manuals included    Make me an offer!Reason for sale: I've got a new HP workstation to play with now :)Also: other peripherals (VGA card/moditor, TEAC Disk Drives, printer, etc)      available.E-mail for more info.  "
452,"*************************************************************     For Sale - Jazz Compact Discs                        *************************************************************I have the following CDs for sale, they are all in mint conditionand are fairly hard to find.  They are all on the savoy label andput out by Dennon (Dennon bought the rights to Savoy and releasedthese disks)I would like to sell them all in one package deal but I will considerindividual orders.These are the titles and artists:Telefunken Blues		Milt Jackson, Kenny Clarke, Percy Heath				Frank Morgan, Frank Wess, Walter BentonJazz Concert West Coast		The Bopland BoysOpus De Jazz VOl-2		John Rae, Steve Kuhn, Bobby Jaspar, 				Jake Hannah, John NevesPatterns of Jazz		Cecil Payne, Kenny Dorham, Duke Jordan, 				Tommy Potter, Art TaylorPenthouse Serenade		Erroll GarnerFootloose			Paul BleyThe Imortal Lester Young 	Lester Young, Count BasieGreat Britain's			Marian McPartland, George ShearingHoward McGhee and Milt Jackson  Self TitledI Just Love Jazz Piano		Hampton Hawes, John Mehegan, Herbie Nichols, 				Paul SmithArt Pepper & Sonny Reid		Self TitledOpus De Blues			Frank Wess, Thad Jones, Curtis Fuller				Charlie Fowlkes, Hank Jones,				Eddie Jones, Gus JohnsonJazz is Busting out All Over	Too many names to list Opus in Swing			Frank Wess, Kenny Burrell				Freddie Green, Eddie Jones, Kenny ClarkeJackson's Ville			Milt Jackson, Lucky Thompson, Hank Jones				Wendell Marshall, Kenny ClarkeI will take any reasonable offer on the package of the 15 discsas well as offers on individual discs.Please E-mail me with a response or call (807) 344-0010ThanxDerek"
457,WANTED:     Refrigerator.
460,I used the information provided in the recent resource listings andtried to ftp to:ccu1.aukland.ac.nz [130.216.1.5]:  ftp/mac/architec - *VISION-3D facetand received an 'unknown host' message.mail to Paul D. Bourke (pdbourke@ccu1.aukland.ac.nz) bounces with basicallythe same problem.Where'd he go????Rick 
461,"I have a basic Apple IIgs system that I need to sell.  Everything comes withoriginal boxes and documentation, and is in excellent condition.  Make anoffer; I'll consider anything:Apple IIgs 1 meg3.5"" drive13"" AppleColor RGB monitorkeyboard/mouse/mousepad/dustcovers/1200 baud Applemodem/random other worthless    stuff.Here's a list of the games/apps:   Games:				   Applications:BattleChess				System DiskDefender of the Crown			System Tools IIGSArkanoid II				WordPerfectBubble Ghost				AppleworksShadowgate				Writer's Choice eliteBalance of Power			Draw PlusMarble Madness				Copy II PlusZany Golf				ProTERM communications softwareChessmaster 2100If interested, contact:sunshine@cco.caltech.edu"
465,"COMPUTER HARDWARE  	   ( all are working fine last time checked ) Tandy 360k external floppy drive with cable (hardly used)                                    ..................... $70  -=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-                       SOFTWARE	  ( all software include original manual  ) 	  ( some even with registeration card.    )Per$onal Financial Accountant     - financial statements    - balance sheet    - income & expense    - etc ...                   ......................... $8Ainsworth Keyboard Trainer (typing teacher) ............. $8Easy Working Tri-Pack (includes following ... )   - Filer -- database to store all kinds of information   - Planner -- Spreadsheet    - Writer -- an easy to use word processor   - great for simple calculations, work processing..etc.                                       .................. $8-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-                         BOOKSInside the Norton Utilities, Revised and Expanded      - by Brady Books      - authored by Rob Krumm      - Introduction by Peter Norton, maker of Norton utilities      - Includes detachable Quick Reference Card to Norton utilities      - shows you how to get the most from            * The Norton Utilities - Standard Edition             * The Norton Utilities - Advanced Edition             * Norton Commander (1.0 - 3.0)            * Norton Editor            * Norton Disk Doctor            * Plus the Peter Norton On-Line Guides      - ""The only book that does full justice to the power and         variety of all the Norton Utility software"" - Peter Norton      - Price originally was $24.95                      asking .................................. $14.95Turbo Pascal Express revised (one disk)   - 250+ ready-to-run assembly language routines that make     turbo pascal faster, more powerful, and easier to use   - equipment determination routines and access to expanded memory   - extensive keyboard and mouse input functions   - extremely fast video facilities, including text-graphics     routines for fancy menus and windows   - routines for bit operations and data compression   - routines for elaborate printer control, formatting, and     error recovery   - powerful routines for searching directory trees and displaying     tree diagrams   - detailed information about writing other assembly routines for      assembly language programmers   - original price was $39.95                        asking  ........................ $22.95Hard Disk Power w/ The Jamsa Disk Utilities (two disks)   - complete guide to hard disk efficiency   - power techniques for maximum PC performance   - understand how your hard disk works - beneath the surface   - original price was $39.95                        asking  ........................ $22.95    -=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-        * Prices does not include shipping        * Prices are negotiable	Please contact Jian at 1(317)495-3732 or 	E-mail to JLZ@SONATA.CC.PURDUE.EDU (preferred)	if you are interested."
469,"Off the top of my head, I might try:Given: p_1, p_2, p_3, p_4Find:  p_c (center of sphere determined by p_1, ..., p_4),        dist(p_c, p_i) (radius)p_c is the same distance from our four points, sodist(p_c,p_1) = dist(p_c,p_2) = dist(p_c,p_3) = dist(p_c,p_4) Of course, we can square the whole thing to get rid of square roots:distsq(p_c,p_1) = distsq(p_c,p_2) = distsq(p_c,p_3) = distsq(p_c,p_4) Plug in the variables into the distance formula, simplify, and the x^2_c, y^2_c, and z^2_c terms cancel out, leaving you with three linearly independent equations and three unknowns (x_c, y_c, z_c).  Solve using your favorite method.  :)All the best,- John :)-------------------------------------------------------------------------------Dr. John S. Eickemeyer                 ::     ""The Lord God is subtle,Information Technology Institute      ::::     but malicious He is not.""National Computer Board, Singapore     ::Email: johne@iti.gov.sg                ::                     - Albert Einstein"
478,"Subject: 1.2 External FD for PS/2 (extremely cheap)I have a brand new 1.2 external floppy drive for PS/2, still in the box.I will sell it for $90 + shipping/firm, which is half of the market price(check page 474 of Computer Shopper, Apr-93 issue, the price is $179 there).Please let me know if you are interested."
481,For Sale:	2 Amigas!	Commodore Amiga 1000	Best offer	512k Ram	1 Internal Floppy drive	Detachable Keyboard	2 Button Mouse	Commodore Amiga 500	Best offer	1024k Ram	1 Internal Floppy drive		2 Button Mouse	1 RGB Monitor		Best offer	1 External Floppy drive	Best offer
483,"------------------------------------------------------------------------------Ocean Reconnaissance Launch Surprises WestSpace News, April 5-11, 1993, p.2[Excerpts]     Russia launched its first ocean reconnaissance satellite in 26 months March 30, confounding Western analysts who had proclaimed the program dead.      The Itar-TASS news agency announced the launch of Cosmos 2238 from Plesetsk Cosmodrome, but provided little description of the payload's mission.      However, based on the satellite's trajectory, Western observers identified it as a military spacecraft designed to monitor electronic emissions from foreign naval ships in order to track their movement.      Geoff Perry of the Kettering Group in England... [said]  Western observers had concluded that no more would be launched. But days after the last [such] satellite re-entered the Earth's atmosphere, Cosmos 2238 was launched. ""Cosmos-2238"" Satellite Launched for Defense MinistryMoscow ITAR-TASS World Service in Russian  1238 GMT 30 March 1993Translated in FBIS-SOV-93-060, p.27by ITAR-TASS correspondent Veronika Romanenkova     Moscow, 30 March -- The Cosmos-2238 satellite was launched at 1600 Moscow time today from the Baykonur by a ""Tsiklon-M"" carrier rocket. An ITAR-TASS correspondent was told at the press center of Russia's space-military forces that the satellite was launched in the interests of the Russian Defense Ministry. "
494,"Aargh!Paul Stewart is the worst and most biased ref. presently in the NHL.He called a total of 4 penalties on the Habs and one on the Nordiques.The Nords' penalty came in O.T.  Stewart, being an ex-Nordique himself,was looking to call penalties on the Habs while letting the Nordsget away with murder...WE WAS ROBBED!!!!It was an excellent game with plenty of end-to-end rushes and tremendousgoalkeeping.  The Nords tied it with over 1 minute to go while Lebeauwas serving a penalty.  I don't mind Stewart calling a penalty in thelast 5 min. of the game, but AT LEAST BE FAIR ABOUT IT.  The Nords werecaught with their hand in the cookie jar more than once.  Stewart turnedthe other cheek...BASTARD!Patrick Roy collapsed after letting in the tieing goal. He was shaky andon his knees for the rest of the night.  The winning goal shouldn't havegone in.Don't get me wrong, I'm not blaming the loss on Stewart.  The Habs hadplenty of chances to capitalize, Muller, LeClair, Haller, etc. butfailed to put the puck in the net.  That's what did them in.  ButMr. Stewart didn't help matters at all.Oh well, at least the Bruins lost in O.T. also Ha, Ha!!--)                               ,,,                              (0-0)============================oOO(_)OOo===================================The Czar of Mainframe Computing <JBE5@MUSICB.MCGILL.CA>McGill University --> I'M TOO SEXY FOR COBOL.---> Habs...will beat the Nords in 7!!!!---> Let's Go Expos!             ===========================================             | Hickory, dickory doc,                   |             | She took a good look at your cock.      |             | It's really scary all rinkled and hairy,|             | It smells like a 10 year old sock!      |             |           --Andrew Dice Clay            |             ==========================================="
498,"Forwarded from Doug Griffith, Magellan Project Manager                     MAGELLAN STATUS REPORT                         April 23, 19931.  The Magellan spacecraft continues to operate normally, gatheringgravity data to plot the density variations of Venus in themid-latitudes.  The solar panel offpoint was returned to zero degreesand spacecraft temperatures dropped 2-3 degrees C.2.  An end-to-end test of the Delayed Aerobraking Data readoutprocess was conducted this week in preparation for the TransitionExperiment.  There was some difficulty locking up to the data frames,and engineers are presently checking whether the problem was inequipment at the tracking station.3.  Magellan has completed 7277 orbits of Venus and is now 32 daysfrom the end of Cycle 4 and the start of the Transition Experiment.4.  Magellan scientists were participating in the Brown-VernadskyMicrosymposium at Brown University in Providence, RI, this week.  Thisjoint meeting of U.S. and Russian Venus researchers has beencontinuing for many years."
500,"The equation of the sphere through the 4 points (x1,y1,z1),...,(x4,y4,z4) is  | x^2+y^2+z^2  x1^2+y1^2+z1^2  ...  x4^2+y4^2+z4^2 |  |      x             x1        ...        x4       |  |      y             y1        ...        y4       | = 0  |      z             z1        ...        z4       |  |      1             1         ...        1        |When this 5 by 5 determininant is expanded on its first column you get theequation in the form  A(x^2+y^2+z^2) + Bx + Cy + Dz + E = 0If you need the center and radius, jyst divide through by A (it cannot bezero if the 4 given points form a non-degenerate tetrahedron) and completethe square on x, y, and z to obtain  (x-xc)^2 + (y-yc)^2 + (z-zc)^2 = r^2"
501,"****************************   SPHINX   ***************************	Sphinx is a user-friendly, state-of-the-art image processingand analysis package that runs across a spectrum of high performance computer platforms operating UNIX and the X-Window System.	It was created to meet to the daily research needs of scientists conducting climate investigations using satellite data and remotesensing techniques. 		   Intuitive Graphic Interface	Sphinx features an interactive interface with pop-up menus and point-and-click dialog boxes which makes image processing andanalysis simple and fast.	This accessible menuing enables you to build attractive image layouts quickly while also providing you the flexibility of returningto the main menu to conduct other image analysis and processing operations.		    Image Format Compatibility	Using smart read/write functions, Sphinx allows you to easily openand save image files in a variety of formats using bit, integer or realdata values.  Sphinx also reads and writes the common TIFF and GIF formatsas well as compresses and decompresses image formats to save disk space.		    Image Analysis & Processing	For image and pixel analysis, the Sphinx package includes anassortment of processing tools that perform useful statistical and mathematical filtering operations, such as Fourier transforms, convolution product or principal component analyses.An interactive interpreter for both algebraic equations and images allowsthe user to manipulate and combine individual data channels interactively.Standard FORTRAN notation is used for formula entry and for trigonometric and transcendental functions.		    Satellite Spectra & Orbit Analysis	Sphinx possesses functions to simulate satellite signal sensitivityfor various meteorological satellites (e.g., GOES, METEOSAT, NOAA, Spot etc.).The simulations are conducted for a selection of standard atmospheric andsurface conditions and instrument spectral bands.A geometry model computes the solar zenith angles, warping, orbit simulation,and 3-D image projection.		    Easy External Program Interfacing	Sphinx allows users the flexibility to integrate externallydeveloped software algorithms for processing and converting satelliteobservations.  Sphinx exports and imports image files and image parametersto external programs using special interface functions.		    Quick Quality Presentation	Sphinx rapidly displays, manipulates, and enhances high-resolutionmultispectral images and color tables.  Using six 8-bit 1024x1024 imageplanes and one graphics plane, the package conveniently combines color images,graphics and text to generate sharp digital images for articles and reports.Sphinx's 2-D and 3-D graphics editor provides complete flexibility for modifyingand integrating vector graphics and analysis plots with images, such as histograms and radial graphs.  The package supplies color and gray scaleoutput for standard inkjet and laser printers.	Other Capabilities Sphinx also performs image animation, external graphics importing, mosaic fitting... what else?		    Software Support & Development	 Sphinx was developed at the Laboratoire d'Optique Atmospherique (LOA) of the Universite de Lille, France.The package has received critical feedback and support from scientists atthe French national laboratory, Centre National de Recherche Scientifique (CNRS),and the French space agency, Centre National d'Etudes Spatiales (CNES).At LOA, Sphinx undergoes continued refinement and development to meet changingresearch needs and advances in computer technology.  The package, which featureson-line help, is supported by an Internet address sphinx@loasil.citilille.fr through which questions can be answered and version updates provided without delay.		    Performance Tested 	CNES has selected Sphinx to analyze and process the satellite data collected during the upcoming ADEOS/POLDER satellite mission.  Today,the Sphinx package is in use at the NASA - Goddard Space Flight Centerand is widely used in many French laboratories, includingthe Centre de Recherche en Physique de l'Environnement, Ecole Normale Superieure ,Laboratoire d' Etudes et de Recherches en Teledetection Spatiale,  Laboratoire de Meteorologie Dynamique.   A TEST VERSION OF SPHINX IS AVAILABLE AT loasil.citilille.fr   (134.206.50.4) anonymous (bin : cd SPHINX : get ALL_SPHINX.tar.Z)   IN THE TEST VERSION THE OUTPUT FILES ARE DISABLE. HOWEVER THE   VISUALISATION AND GRAPHIC FUNCTIONS ARE AVAILABLE. THIS IS   SUFFICIENT TO WORK WITH.   IF YOU ARE INTERESTED IN KEEPING ""SPHINX"", SEND US YOUR EMAIL   AND YOU WILL RECEIVE NEWS ABOUT THE PACKAGE EVOLUTION."
505,For sale:Roland D-50: $700 or best offer.Excellent condition.Includes over 1000 patches on disk (In cakewalk sysex format)Buyer must pay COD shipping.Please e-mail responses to:gms2@po.cwru.eduThanks.George
506,"I have the following equipment for sale:1. Kenwood TH-28A 2mtr HT			$250.002. RF Concepts 2mtr Amp (45in->170out)		$275.003. Hamtronics Class C Continuous Duty	440mhz 10watt-in ~40watt-out amp	$250.00All prices include shipping/insurance.For additional information, contact me at the address below.Dave"
508,"Gretzky averaged 2.69 pts/gameCheck your information before posting, Gretzky's record is 215 pts in 80 games.Over 84 games, Gretzky's total projected 226 points.The 76-77 Canadiens had .825 percentage, 132 pts in 80 games. (60-8-12).The 29-30 Bruins had a .875 winning percentage.Also the 77-78 Canadiens had a .806 percentage with a 59-10-11 record."
514,"Toronto Siggraph ================What: ``Chance's Art'': 2D Graphics and Animation on the Indigo.By:    Ken Evans, Imagicians Artware, Inc. When:  Tuesday 20 April 1993 7:00pm-9:00pm Where: The McLuhan Centre for Culture and Technology       University of Toronto       39A Queen's Park Crescent       TorontoWho:   Members and non-members alike        (non-members encouraged to become members...)Abstract:Imagicians Artware, Inc. is entering into early beta site testing on Silicon Graphics workstations of a new 2D abstract artwork and animation package called Chance's Art.  The package will be described and demonstrated, and some of the technical issues will be discussed.  Marketing plans will be outlined.  The talk will also present some of the technical and business problems increasingly confronting small startup software companies today, and some of the opportunities this situation presents.Time after the event will be allocated for hands-on demonstrations to interested parties.  Silicon Graphics is graciously providing an Indigo for this event.  Myck Kupka will also be demonstrating his computerized interactive reflective stereoscope, which is installed upstairs in the McLuhan Centre, so feel free to drop by for a demonstration before or after the event. BTW, be sure to sing ""Happy Birthday, Myck""...The names of nominees for our Siggraph executive offices will be announced at this meeting.  Nominations will still be open until the election at our May 18th event; call Myck Kupka at 465-0943 or fax to 465-0729.  Directions: The McLuhan Coachhouse is on the east side of Queen's Park Crescent, just NORTH of Wellesley, SOUTH of St. Joseph St., BEHIND (EAST of) 39 Queen's Park Crescent, which is the centre for Mediaeval Studies.  "
515,"I have a wonderful Commodore 128 for sale!!!!          Also included:                   1571 disk drive                   color moniter                   power supply (great shape)                   software                   joysticks                   2 300 baud modems (old, but useable)contact doug  (906) 487-0369 or (815) 623-6447"
516,"		     ^^^^^^^^^^^^^^Is this Tony Esposito?  If memory serves me correctly, Chicago.  God Ihope I am right, otherwise I will never hear the end of it. ;-)--    Keith Keller				LET'S GO RANGERS!!!!!						LET'S GO QUAKERS!!!!!	kkeller@mail.sas.upenn.edu		IVY LEAGUE CHAMPS!!!!"
519,"Reduced Prices! I have a list of things forsale on behalf of my brother, who's moving (movedalready)								Offer:1) Black and Decker Duster Plus (Portable Hand Vaccum)	 	purchased for $32, 					  $122) SR-1000 Dual Cassette Portable Player, AM/FM5-Band graphics Equalizer, high speed dubing, Duo Tape.Tape deck A, seems to have lost treble sound. But, I bet  it's fixable.	purchased for $80					  $253)Monolux Zoom MicroScope, up to 1200X magnificationMade in Japan, includes case and accessories	purchased for $50					  $204)Sunbeam 1400 Hair Dryer, the dryer you put your head under/into. You know, the ones you see in the salons.(Don't ask me why my bro had it)	purchased for $60				          $245)Everylast Speed Bag, all leather. Brand new, never used								  $106)Osterizer Pusle Matic Blender, with 10 speeds and a cookbook, 5 years old					  $10	purchased for $508)Binolux Binoculars . 7x35, extra wide angle525ft. at 1000yds. with case. very new.		                  $209)Proctor and Silex Spray,Steam and Dry Iron.very new.							  $10Any questions, contact me thru e-mail and I will reply expeditouslyAnd always, S+H are not included, so please consider this.And lastly, I'm a very reasonable.Very Reasonable."
528,"FOR SALE: ****************************************************************386-40 with VGA Color Monitor, dual floppy, VGA card with 1MB on board, joystick,mouse, 2 MB RAM, no hard drive.FOR ONLY $500!  Respond quickly!"
533,"*** 10 MONTH OLD POLK SYSTEM FOR SALE ***Excellent condition 10 month old (proof available) Polk Monitor 4.6 bookshelfspeakers are being offered for sale. The are excellent, and sound great. I amgoing for a higher model. So I need to sell these speakers. I paid $250 forthe pair of bookshelf speakers. I am willing to consider the best offer. Send me your offers. E-mail: suraj@cs.jhu.edu.Also have excellent condition Luxman receiver R-351 and Onkyo tape deckTA-RW404 for sale. Both are in excellent condition and just 10 months old.Makes an excellent system. Paid $950 for receiver, tape deck and speakers10 months back, will consider the best offer. Each piece will be sold seperately if wanted. E-mail best offer to suraj@cs.jhu.edu"
535,"As far as I know Dusseldorf has only one Canadian-German forward (i.e. a  playerwho was born in Canada but now has a German passport). Benoit Doucet became german by marriing a german and he is going to play for Germany in the WC.The other Canada-born forwards are:	Peter-John Lee (has British passport)	Chris Valentine	Dale Dercatch	Steve Gootas 	Earl Spry (?)At the moment there are only three German-born forwards coming into my mind:	Bernd Trunschka, Andreas Brockmann, Ernst Koepf"
536,"Forsale:Nintendo control Deck with two controllers and gun, one controller hasgrips attached. the NES will only connect to a composite monitor or TV with audio andvideo RCA Input jacks and needs some repairs. 25$ or best offergames for sale 15$  Tecmo Baseball15$  Techmo Bowl15$  Double Dribble15$  Wayne Gretzky Hockey15$  Golf10$  Super Mario/Duck Hunt10$  Toobin'10$  Spelunker25$  Tecmo Super Bowl============130$ total, I'll give all of them to you for 100$ or best offer and throwin the control deck...I'll also accept the best offer for each of the gamesthe oldest of these is two years old, most of them are less than a year old."
540,"It is usually possible to reach people at IKI (Institute for SpaceResearch) in Moscow by writing to	IKIMAIL@esoc1.bitnetThis is a machine at ESA in Darmstadt, Germany; IKI has a dedicatedphone line to this machine and someone there logs in regularly toretrieve mail.In addition, there are several user accounts belonging to Russianscientific institutions on	<user>@sovam.comwhich is a commercial enterprise based in San Francisco that providesemail services to the former USSR.  For example, fian@sovam.com is the""PHysics Institute of the Academy of Sciences"" (initials transliteratedfrom Russian, of course).  These connections cost the Russians realdollars, even for *received* messages, so please don't send anythingvoluminous or frivilous.=====================================================================Larry R. D'AddarioNational Radio Astronomy Observatory"
548,"FOR SALE: IBM-compatible XT personal computer (DOS)Brand:  AcerAge:    4.5 yearsSpecs:  640K RAM        20 meg hard drive        5 -1/4 floppy drive        Color monitor        2400 baud USRobotics internal modem Bundled with loads of software: word processing, communications, spreadsheet, games. A good computer that successfully got me through all of my BA, MS, and half of my PhD (I decided to switch to a Mac for my dissertation). Perfect for high school student, college student, or person who needs basic word processing, spreadsheet, and/or database capabilities. Best offer.  Reply toLaura Gurakuserglub@mts.rpi.edu  "
550,"Sorry folks, I should have done this, and meant to just after i hit the send key...Orbital Elements of Comet 1977VII (from Dance files)p(au)          3.424346e              0.151899i              1.0988cap_omega(0) 243.5652W(0)         231.1607epoch       1977.04110Also, perihelions of Gehrels3 were:April  1973     83 jupiter radiiAugust 1970     ~3 jupiter radiiHope this helps...I'm even less of an orbital mechanic than I am an artist."
552,"The most current orbital elements from the NORAD two-line element sets arecarried on the Celestial BBS, (513) 427-0674, and are updated daily (whenpossible).  Documentation and tracking software are also available on thissystem.  As a service to the satellite user community, the most currentelements for the current shuttle mission are provided below.  The CelestialBBS may be accessed 24 hours/day at 300, 1200, 2400, 4800, or 9600 bps using8 data bits, 1 stop bit, no parity.Element sets (also updated daily), shuttle elements, and some documentationand software are also available via anonymous ftp from archive.afit.af.mil(129.92.1.66) in the directory pub/space.STS 56     1 22621U 93 23  A 93105.06179397  .00044513  00000-0  12649-3 0   2302 22621  57.0022 147.2850 0004246 288.7332  38.0941 15.92991629  10841993 023B  1 22623U 93 23  B 93103.37312705  .00041032  00000-0  11888-3 0    862 22623  57.0000 155.1150 0004422 293.4650  66.5967 15.92653917   803"
555,"I would like to sell my dot matrix printer so I can upgrade to inkjet.It is a ""Panasonic KX-P1124 24 pin Multi-Mode Printer"".  Here are thestats (from memory and the manual):-  360x360 dot-printing for hi-res graphics, etc.-  VERY fast (up to 192 cps) printing in ""printer-controlled"" (as	opposed to Windows driver-controlled) printing-  Bidirectional printing for faster processing speed-  5 fonts (""courier"",""prestige"",""bold ps"",""script"",""sans serif"")-  Epson LQ-2500 and IBM Proprinter X24 printer emulation-  Can accept single sheets, envelopes, and 3 non-carbon copies by	friction feed-  Front or bottom paper feed-  6KB bufferI will send a sample document and a printed GIF/JPEG file to anyonewho wishes to send a SASE.  With purchase (prepaid, please!), I willinclude the following accessories:-  Manual-  cable (Centronics)-  remaining stack of tractor-fed paper (about .4"")-  FREE copy of Windows printer driver (unless this is illegal, or if	it is included with Windows)-  FREE unregistered DOS shareware program ($2 registration, I think)	that apparently offers some word processing capabilities	from DOSThe last two will be on a disk (either size).  I am asking for around$165, but I am open to any (reasonable) offers.  I am a collegestudent, so I cannot afford to buy a new printer without getting aconsiderable portion of the money from this printer.  This priceincludes all above items, and shipping (probably UPS) is included aswell.  I have the original box, but only one of the original Styrofoamend pieces.  I will use a towel on the other end (you get a free toweltoo!!).  Worked fine getting it here.  The whole shebang might not fitin the original box; I will figure this out after the offers come in.Email any questions and offers.		-Jon."
556,"Discounts!  Please take	$2.00 off each item over $10.00                        $1.00 off each item over $ 5.00Here is the list of magazines, including asking price:--------------------------------------------------------------------Strategy & Tactics Magazine (All include unpunched games):===========================NEW (52 & 79-90 As mailed with games and all inclusions.)Issue:	Title:							Asking:52	Oil War - American Intervention in The Persian Gulf	35.0079	Berlin '85 - The Enemy at the Gates			20.0081	Tito - Partisan Army Yugoslavia, 1941-45		20.0083	Kaiser's Battle - German Offensive March, 1918		20.0084	Operation Grenade - Rhineland Feb 23-Mar 5, 1945	20.0089	Sicily - The Race to Messina Jul 10-Aug 17, 1943	20.0090	The Battle of Monmouth - Colonies take Offensive 1778	20.00----------End of an Era ---------------------------------------------NEW (113-127 As mailed with games and all inclusions in envelope.)Issue:	Title:							Asking:113	The Battle of Abensberg (Magazine only)			15.00	115     Kanev - Russian Paratroops				15.00116	Manchu - The Taiping Rebellion				15.00117	North German Plain - Modern Germany			15.00118	The Tigers Are Burning - Camp. in the Ukraine '43-44	15.00120	Nicararagua						15.00122	Pegasus Bridge - The Beginning of D-Day			15.00123	Campaigns in the Valley					15.00124	Fortress Stalingrad - Russian Winter Offensive '42-43	15.00125	The Far Seas - German Cruiser Operations WWII		15.00126	Beirut 1982 - Arab Stalingrad				15.00127	Rush for Glory - War with Mexico 1846-47		15.00The AH General Magazine:  (Many other articles included in each issue)=======================Issue	Title				Asking  Vol. #7-80    Crescendo of Doom               8.00  	17/211-80	Fortress Europa			8.00  	17/41-81	Circus Maximus			8.00  	17/53-81	Stalingra			8.00  	17/65-81	Bismark, Squad Leader Clinic 	8.00  	18/1Campaign Magazine: (Many other articles included in each issue)=================Issue	Title				Asking97	Crescendo of Doom		 8.00101	Cross of Iron			 8.00102	Counterstroke at Inchon		 8.00104	Squad Leader Variant		 8.00106	GDW's 1941			 8.00108     Battle for Leyte Gulf	         8.00All magazine prices include postage.  ALL ISSUES ARE IN NEW OR LIKE-NEW CONDITION. -----------------------------------------------------------------------Games and Books:===============Yaquinto Publications, Inc.:===========================Attack of the Mutants - Introductory Game			$ 5.00(Unpunched, new.)---The Complete Book of Wargames (out of print)			$30.00--------------------------------------------Author:  Jon Freeman(Part 1 Introduction 75 pages - 	including Ch. 4 Kassala: An Introductory Wargame)(Complete information on over 150 wargames as of 1980)[hardcover, 285 pages, large format]---Shipping extra on books and games.Prefer money orders for payment, I'll allow personal checks to clear beforeshipping.  					LarryLarry McElhiney1385 7th Avenue #10Santa Cruz, CA 95062"
558,Here it isZoom 14.4k  FAX/DATA v.32bis modem.  I have evreything only purchased inJanuary.  Will happily provide the Fax/Comm. software and BOX and manuals.I am selling this for ONLY $125+s/h COD.Nicolas Nowinski703-435-9590 FEEL FREE TO CALL for quickest service.
560,"Four tickets available for the Paul McCartney concert at the Alamo Dome in San Antonio, TX on May 29th...GROUND FLOOR SEATS.Will sell all four, or in pairs:  $100 each."
